CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
52,NARIÑO,52079,BARBACOAS,713.70,"2,187.00","2,767.00","1,469.00","1,920.00","1,460.00","1,586.00","3,080.00","2,928.00","3,433.00","3,193.00","1,815.00","1,511.00","1,330.00","2,453.49","3,359.37","4,590.50","3,516.29","3,138.09",2569.39,"3,463.17",3773.06
52,NARIÑO,52110,BUESACO,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
52,NARIÑO,52207,CONSACÁ,- 0,- 0,- 0,- 0,5.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
52,NARIÑO,52210,CONTADERO,2.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
52,NARIÑO,52215,CÓRDOBA,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
52,NARIÑO,52227,CUMBAL,- 0,- 0,- 0,- 0,- 0,2.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
52,NARIÑO,52233,CUMBITARA,3.00,140.00,301.00,127.20,329.00,483.00,452.00,250.00,451.00,221.00,194.00,97.00,115.00,107.00,209.49,527.30,666.80,778.23,684.38,504.04,"1,387.76",1211.68
52,NARIÑO,52250,EL CHARCO,984.49,798.00,699.00,649.00,741.00,741.00,"1,728.00","2,202.00","1,130.00",748.00,"1,080.00",702.00,"1,020.00","1,263.00","1,417.79","2,819.91","4,630.67","5,147.73","5,318.32",4674.02,"8,952.35",8694.67
52,NARIÑO,52254,EL PEÑOL,- 0,- 0,- 0,- 0,- 0,- 0,91.00,- 0,19.00,86.00,- 0,- 0,1.00,23.00,34.90,51.17,97.31,55.80,50.42,36.62,79.38,72.56
52,NARIÑO,52256,EL ROSARIO,28.23,102.00,230.00,221.00,508.00,372.00,434.00,273.00,290.00,253.00,203.00,169.00,127.00,133.00,244.55,573.94,765.36,842.49,782.20,659.08,"1,576.82",1463.36
52,NARIÑO,52260,EL TAMBO,- 0,- 0,- 0,- 0,7.00,- 0,13.00,2.00,4.00,65.00,- 0,- 0,1.00,20.00,114.28,97.62,176.28,98.48,60.07,47.69,115.58,98.87
52,NARIÑO,52520,FRANCISCO PIZARRO (Salahonda),37.42,45.00,16.00,107.00,153.00,192.00,501.00,407.00,189.00,189.00,207.00,59.00,61.00,66.00,91.80,157.38,258.10,304.75,347.51,316.37,501.53,537.65
52,NARIÑO,52356,IPIALES,"1,130.45",350.00,212.00,520.00,629.00,357.00,123.00,215.00,192.00,139.00,247.00,162.00,370.00,664.00,887.49,"1,132.06","1,273.67",928.49,"1,204.24",967.25,"1,282.11",1815.79
52,NARIÑO,52381,LA FLORIDA,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,3.00,30.06,51.43,83.95,39.87,22.73,14.3,40.87,55.72
52,NARIÑO,52385,LA LLANADA,- 0,12.00,5.88,- 0,1.00,4.00,- 0,7.00,35.00,24.00,3.00,5.00,3.00,28.00,53.35,83.82,146.45,142.47,103.92,86.54,142.44,139.41
52,NARIÑO,52390,LA TOLA,15.00,29.00,1.89,94.00,27.00,75.00,184.00,164.00,465.00,139.00,63.00,31.00,41.00,78.00,120.36,119.83,292.30,280.36,279.54,263.19,661.19,527.11
52,NARIÑO,52405,LEIVA,10.00,- 0,41.00,40.00,58.00,- 0,185.00,66.00,24.00,36.00,35.00,7.00,2.00,11.00,39.73,212.79,279.18,290.17,272.01,273.54,642.48,580.08
52,NARIÑO,52411,LINARES,- 0,- 0,- 0,- 0,43.00,- 0,22.00,5.00,11.00,96.00,15.00,100.00,52.00,122.00,262.52,284.66,558.06,504.71,419.55,368.25,568.55,544.84
52,NARIÑO,52418,LOS ANDES (Sotomayor),- 0,- 0,- 0,- 0,- 0,1.00,81.00,2.00,18.00,103.00,33.00,26.00,55.00,93.00,166.25,177.57,364.39,294.95,261.89,202.48,446.07,386.42
52,NARIÑO,52427,MAGÜÍ (Payán),"1,693.61","2,398.00","3,532.00","2,175.00","2,139.00","1,002.00","2,593.00","2,240.00","1,323.00","1,207.00","1,563.00",494.00,478.00,586.00,861.96,"1,273.22","1,716.95","2,023.63","2,148.19",2123.03,"3,363.19",3747.99
52,NARIÑO,52435,MALLAMA (Piedrancha),- 0,- 0,0.07,- 0,- 0,- 0,1.00,3.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.16,18.12,16.32,13.21,20.81,18.01
52,NARIÑO,52473,MOSQUERA,33.97,119.00,55.00,289.00,38.00,34.00,188.00,140.00,129.00,84.00,222.00,76.00,115.00,118.00,159.05,239.90,218.44,227.25,199.71,249.87,474.07,376.23
52,NARIÑO,52490,OLAYA HERRERA (Bocas de Satinga),14.00,690.00,506.00,575.00,517.00,870.00,"1,972.00","1,286.00","1,452.00",612.00,"1,104.00",712.00,719.00,"1,445.00","2,173.01","2,572.72","3,355.53","3,504.58","3,561.90",2898.08,"6,040.57",4994.15
52,NARIÑO,52540,POLICARPA,15.00,29.00,215.00,236.00,212.00,545.00,773.00,221.00,389.00,235.00,202.00,165.00,301.00,199.00,326.09,733.27,960.41,936.40,794.31,646.18,"1,471.86",1291.86
52,NARIÑO,52573,PUERRES,1.00,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
52,NARIÑO,52612,RICAURTE,8.00,23.00,15.92,93.00,1.00,52.00,53.00,6.00,67.00,75.00,68.00,61.00,106.00,93.00,125.81,333.00,784.16,808.56,640.93,565.27,839.10,810.06
52,NARIÑO,52621,ROBERTO PAYÁN (San José),"1,048.21","2,361.00","3,509.00","2,409.00","2,265.00","1,011.00","2,896.00","2,336.00","1,539.00","1,585.00","2,058.00",460.00,858.00,"1,147.00","1,938.22","2,404.27","2,733.71","2,852.94","2,990.16",2940.45,"3,059.39",4869.69
52,NARIÑO,52678,SAMANIEGO,- 0,5.00,8.94,- 0,7.00,46.00,24.00,120.00,281.00,531.00,551.00,226.00,336.00,402.00,742.71,"1,394.60",869.33,856.85,701.62,576.36,773.87,676.78
52,NARIÑO,52693,SAN PABLO,- 0,- 0,3.91,- 0,- 0,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
52,NARIÑO,52683,SANDONÁ,- 0,- 0,- 0,- 0,15.00,11.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.00,4.64,8.28,16.13,8.82,7.00,7.34,22.59,33.95
52,NARIÑO,52696,SANTA BÁRBARA (Iscuandé),232.70,258.00,274.00,345.00,213.00,"1,303.00",700.00,706.00,802.00,615.00,587.00,294.00,279.00,368.00,283.68,785.28,530.17,560.34,486.34,426.76,"1,595.08",1571.38
52,NARIÑO,52699,SANTA CRUZ (Guachavés),- 0,- 0,- 0,- 0,- 0,- 0,- 0,14.00,4.00,11.00,10.00,3.00,14.00,19.00,33.02,61.79,803.08,809.55,626.34,474.26,829.93,677.54
52,NARIÑO,52835,TUMACO,"1,421.36","5,585.00","5,234.00","4,806.00","4,004.00","7,045.00","5,642.00","5,865.00","4,682.00","5,464.00","5,593.00","5,065.00","6,612.00","8,963.00","16,960.24","23,147.95","19,516.93","16,046.85","11,830.26",8832.92,"18,109.11",20719.9
54,NORTE DE SANTANDER,54003,ÁBREGO,- 0,- 0,- 0,7.00,- 0,- 0,- 0,- 0,8.00,- 0,15.00,20.00,13.00,17.00,22.12,24.03,65.45,73.29,84.43,114.46,88.82,87.41
54,NORTE DE SANTANDER,54109,BUCARASICA,- 0,- 0,20.00,- 0,- 0,3.00,2.00,3.00,- 0,- 0,6.00,5.00,3.00,3.00,- 0,- 0,3.82,10.64,18.48,41.24,4.87,15.86
54,NORTE DE SANTANDER,54128,CÁCHIRA,- 0,- 0,- 0,- 0,- 0,- 0,2.00,71.00,51.00,37.00,164.00,38.00,16.00,15.00,10.32,15.42,- 0,- 0,- 0,0,- 0,- 0
54,NORTE DE SANTANDER,54206,CONVENCIÓN,13.41,33.00,39.00,181.00,15.00,15.00,41.00,54.00,225.00,68.00,180.00,356.00,999.00,553.00,855.88,890.62,"1,315.66","1,686.74","2,018.00",2307.93,"2,004.46",1914.61
54,NORTE DE SANTANDER,54001,CÚCUTA,34.05,47.00,43.08,17.00,- 0,- 0,- 0,1.00,38.00,10.00,32.00,38.00,61.00,33.00,55.96,280.97,323.11,316.89,368.82,373.01,478.86,426.76
54,NORTE DE SANTANDER,54245,EL CARMEN,4.39,24.00,102.00,212.00,- 0,5.00,58.00,285.00,215.00,86.00,212.00,222.00,871.00,436.00,568.84,664.27,758.44,702.19,"1,156.82",1181.89,887.60,817.8
54,NORTE DE SANTANDER,54250,EL TARRA,589.64,524.00,544.00,783.00,219.00,104.00,764.00,480.00,314.00,217.00,410.00,566.00,662.00,809.00,"2,074.54","3,682.70","4,300.60","4,916.63","5,724.83",5916.4,"6,248.08",6390.46
54,NORTE DE SANTANDER,54261,EL ZULIA,13.37,36.00,26.11,22.00,- 0,- 0,- 0,17.00,10.00,2.00,41.00,18.00,25.00,13.00,14.07,94.10,134.14,152.03,167.66,160.87,220.16,199.19
54,NORTE DE SANTANDER,54344,HACARÍ,21.71,9.00,14.74,74.00,30.00,15.00,- 0,- 0,- 0,1.00,48.00,59.00,51.00,103.00,152.46,214.94,386.77,402.71,583.99,572.5,531.94,580.87
54,NORTE DE SANTANDER,54385,LA ESPERANZA,- 0,1.00,- 0,- 0,- 0,- 0,64.00,121.00,73.00,61.00,92.00,45.00,30.00,7.00,8.84,11.91,2.02,2.40,5.13,4.86,4.72,- 0
54,NORTE DE SANTANDER,54398,LA PLAYA,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.00,- 0,26.00,4.00,- 0,15.00,5.41,6.13,25.59,26.83,42.37,32.71,25.99,26.78
54,NORTE DE SANTANDER,54418,LOURDES,- 0,- 0,4.99,- 0,- 0,3.00,- 0,- 0,- 0,- 0,3.00,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
54,NORTE DE SANTANDER,54498,OCAÑA,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.00,4.00,6.97,9.04,10.62,42.12,47.73,17.57,24.24,16.48
54,NORTE DE SANTANDER,54670,SAN CALIXTO,19.56,9.00,13.26,136.00,25.00,13.00,34.00,62.00,42.00,- 0,66.00,134.00,208.00,181.00,736.53,445.04,640.32,765.34,"1,130.19",1206.77,965.93,959.31
54,NORTE DE SANTANDER,54720,SARDINATA,586.05,793.00,864.00,158.00,47.00,26.00,93.00,463.00,245.00,193.00,"1,125.00",723.00,837.00,"1,078.00",865.94,"3,847.36","4,112.41","5,487.34","6,515.98",4602.98,"5,135.03",4727.37
54,NORTE DE SANTANDER,54800,TEORAMA,679.19,217.00,393.00,200.00,84.00,42.00,186.00,296.00,509.00,271.00,298.00,628.00,663.00,680.00,"1,770.15","1,856.70","2,479.63","2,915.98","3,953.83",4216.63,"3,714.85",3790.4
54,NORTE DE SANTANDER,54810,TIBÚ,"9,677.49","6,340.00","2,398.00","1,266.00",424.00,262.00,702.00,"1,033.00",982.00,943.00,772.00,"1,658.00","1,905.00","2,997.00","4,379.08","12,787.38","13,685.69","16,096.74","19,892.71",19333.88,"22,229.60",22081.53
54,NORTE DE SANTANDER,54820,TOLEDO,80.11,9.00,8.92,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
86,PUTUMAYO,86001,MOCOA,112.00,122.00,91.00,27.04,69.00,145.00,142.00,97.00,37.00,15.00,48.00,107.00,49.00,105.00,106.88,111.20,76.23,70.14,77.08,18.22,44.97,91.63
86,PUTUMAYO,86320,ORITO,"7,629.19","1,442.00",352.00,516.00,523.00,"1,153.00","1,740.00","1,269.00",583.00,556.00,"1,086.00",428.00,784.00,"1,639.00","2,189.80","2,987.87","3,969.91","3,949.26","3,073.30",2212.62,"4,421.85",8085.63
86,PUTUMAYO,86568,PUERTO ASÍS,"8,679.57","2,898.00","1,527.00",543.00,"1,414.00","2,509.00","4,531.00","2,627.00","1,225.00","1,551.00","2,735.00","1,463.00","2,150.00","4,437.00","6,052.03","7,453.44","9,664.60","7,657.88","6,809.74",5701.55,"7,469.92",11504
86,PUTUMAYO,86569,PUERTO CAICEDO,"2,340.00",709.00,210.00,141.00,330.00,547.00,929.00,449.00,326.00,281.00,854.00,526.00,682.00,"1,046.00","1,481.21","1,782.14","2,998.37","2,905.02","2,616.56",1929.34,"2,727.81",4658.12
86,PUTUMAYO,86571,PUERTO GUZMÁN,"4,184.77","2,494.00","2,297.00","1,050.00","1,928.00","2,118.00","1,827.00","1,077.00",794.00,623.00,"1,413.00",656.00,624.00,915.00,"1,298.66","1,584.84","2,029.90","2,014.05","1,749.87",1063.81,"1,457.47",2724.4
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,"3,831.27","3,187.00","1,454.00","1,275.00","2,546.00","2,562.00","1,530.00","1,653.00","1,150.00","1,044.00","1,696.00","1,218.00","1,077.00","1,276.00","1,804.80","1,992.38","1,403.95","1,104.11","1,651.81",1390.14,"1,924.43",4285.46
86,PUTUMAYO,86757,SAN MIGUEL (La Dorada),"4,041.29",903.00,600.00,194.40,661.00,756.00,867.00,481.00,263.00,136.00,499.00,416.00,659.00,"1,094.00","2,338.17","3,128.40","3,553.66","3,329.07","3,752.43",3603.69,"4,106.15",6439.95
86,PUTUMAYO,86760,SANTIAGO,11.00,8.00,- 0,- 0,3.00,6.00,- 0,8.00,3.00,3.00,- 0,2.00,4.00,6.00,4.64,5.28,- 0,- 0,- 0,0,- 0,- 0
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ (La Hormiga),"9,269.25","1,553.00",850.00,471.00,"1,033.00","1,896.00","2,334.00","1,319.00",583.00,335.00,"1,010.00",644.00,"1,093.00","2,050.00","3,660.05","4,885.79","4,132.44","3,362.77","3,539.45",3353.95,"4,694.37",7958.61
86,PUTUMAYO,86885,VILLAGARZÓN,952.06,410.00,178.00,169.00,456.00,561.00,913.00,678.00,353.00,241.00,611.00,688.00,545.00,"1,041.00","1,131.39","1,231.07","1,759.91","2,015.26","1,702.67",712.86,"1,358.24",2286.63
68,SANTANDER,68020,ALBANIA,- 0,5.00,- 0,2.07,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68092,BETULIA,- 0,- 0,- 0,62.00,54.00,10.00,35.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68101,BOLÍVAR,92.55,101.00,307.00,487.00,393.00,284.00,742.00,690.00,272.00,165.00,159.00,30.00,28.00,5.00,4.62,14.58,6.82,3.63,- 0,0,3.04,6.04
68,SANTANDER,68176,CHIMA,- 0,10.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68190,CIMITARRA,26.89,120.00,96.00,157.00,84.00,66.00,100.00,330.00,159.00,106.00,45.00,9.00,2.00,- 0,- 0,- 0,3.04,1.55,- 0,0,4.68,6.35
68,SANTANDER,68209,CONFINES,- 0,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68211,CONTRATACIÓN,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68235,EL CARMEN,- 0,18.00,- 0,- 0,3.00,8.00,4.00,3.00,17.00,- 0,- 0,2.00,- 0,- 0,1.16,4.92,4.51,2.84,- 0,0,- 0,- 0
68,SANTANDER,68250,EL PEÑÓN,3.00,- 0,18.27,24.00,21.00,32.00,8.00,36.00,23.00,14.00,3.00,- 0,- 0,1.00,- 0,- 0,- 0,2.24,- 0,0,- 0,- 0
68,SANTANDER,68255,EL PLAYÓN,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10.00,14.00,12.00,60.00,2.00,5.00,5.00,2.56,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68271,FLORIÁN,- 0,- 0,8.92,7.00,- 0,6.00,6.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68322,GUAPOTÁ,- 0,- 0,- 0,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68324,GUAVATÁ,- 0,- 0,- 0,14.32,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68377,LA BELLEZA,22.06,25.00,25.56,96.00,73.00,96.00,53.00,94.00,72.00,31.00,77.00,7.00,3.00,1.00,- 0,- 0,- 0,- 0,- 0,0,- 0,2.91
68,SANTANDER,68397,LA PAZ,- 0,- 0,4.98,1.00,- 0,- 0,- 0,- 0,10.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68385,LANDÁZURI,12.65,43.00,0.91,23.18,77.00,107.00,63.00,126.00,75.00,78.00,34.00,14.00,1.00,1.00,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68524,PALMAS DEL SOCORRO,- 0,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68573,PUERTO PARRA,- 0,19.00,2.79,5.00,28.00,16.00,44.00,41.00,21.00,27.00,16.00,5.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68615,RIONEGRO,- 0,1.00,- 0,- 0,- 0,- 0,- 0,3.00,21.00,23.00,51.00,2.00,5.00,2.00,1.98,2.24,5.68,- 0,1.21,1.44,- 0,- 0
68,SANTANDER,68655,SABANA DE TORRES,- 0,- 0,- 0,- 0,- 0,- 0,8.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,- 0,- 0,- 0,18.81,27.00,4.00,23.00,- 0,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68720,SANTA HELENA DEL OPÓN,- 0,45.00,18.00,21.00,2.00,7.00,14.00,2.00,38.00,48.00,35.00,5.00,3.00,2.00,4.92,10.82,3.86,6.24,1.18,1.68,2.40,- 0
68,SANTANDER,68745,SIMACOTA,- 0,19.00,33.00,20.00,1.00,7.00,13.00,7.00,5.00,35.00,10.00,1.00,1.00,- 0,- 0,4.68,6.08,4.08,- 0,0,- 0,- 0
68,SANTANDER,68755,SOCORRO,- 0,2.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68773,SUCRE,3.00,55.00,109.00,173.00,199.00,205.00,204.00,449.00,191.00,95.00,86.00,31.00,26.00,7.00,3.39,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68861,VÉLEZ,- 0,- 0,7.29,12.18,19.00,18.00,8.00,- 0,29.00,39.00,19.00,2.00,3.00,1.00,2.03,- 0,- 0,- 0,- 0,0,- 0,- 0
76,VALLE DEL CAUCA,76100,BOLÍVAR,- 0,- 0,- 0,0.97,18.00,75.00,2.00,17.00,1.00,15.00,52.00,14.00,23.00,5.00,16.18,31.24,75.42,80.85,17.39,24.76,77.41,156.18
76,VALLE DEL CAUCA,76109,BUENAVENTURA,186.35,66.00,32.00,44.00,10.00,149.00,400.00,"1,651.00",794.00,558.00,842.00,422.00,338.00,539.00,627.86,680.47,"1,030.16",987.23,918.49,907.79,"1,273.69",1301.22
76,VALLE DEL CAUCA,76001,CALI,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
76,VALLE DEL CAUCA,76126,CALIMA (El Darién),- 0,- 0,5.00,- 0,- 0,57.00,51.00,386.00,134.00,92.00,73.00,46.00,31.00,16.00,24.36,33.55,43.60,44.93,14.54,13.56,45.10,48.77
76,VALLE DEL CAUCA,76233,DAGUA,- 0,34.00,- 0,- 0,- 0,- 0,- 0,8.00,- 0,- 0,14.00,- 0,6.00,1.00,3.14,3.03,45.82,36.61,58.64,38.72,33.93,48.86
76,VALLE DEL CAUCA,76364,JAMUNDÍ,- 0,11.00,- 0,- 0,- 0,- 0,- 0,25.00,- 0,- 0,- 0,- 0,- 0,- 0,18.44,3.64,61.56,116.92,"1,319.94",953.03,"1,159.51",1083.89
76,VALLE DEL CAUCA,76834,TULUÁ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.75,4.02,- 0,0,- 0,- 0
97,VAUPÉS,97161,CARURÚ,"1,279.80","1,125.00",827.00,638.00,386.00,189.00,157.00,168.00,63.00,60.00,100.00,105.00,125.00,92.00,31.03,96.66,105.46,64.74,25.95,39.33,28.81,17.05
97,VAUPÉS,97001,MITÚ,380.52,269.00,230.00,389.00,262.00,259.00,125.00,331.00,190.00,424.00,111.00,125.00,54.00,16.00,1.61,- 0,- 0,- 0,- 0,0,- 0,- 0
97,VAUPÉS,97511,PACOA (Cor. Departamental),36.42,20.00,34.95,- 0,1.00,3.00,16.00,27.00,78.00,183.00,60.00,15.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
97,VAUPÉS,97777,PAPUNAUA (Cor. Departamental),73.02,58.00,7.89,33.00,21.00,9.00,5.00,26.00,15.00,27.00,1.00,6.00,4.00,1.00,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
97,VAUPÉS,97666,TARAIRA,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.00,14.00,5.00,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
97,VAUPÉS,97889,YAVARATÉ (Cor. Departamental),1.00,14.00,57.00,23.69,1.00,- 0,4.00,5.00,4.00,13.00,- 0,2.00,1.00,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
99,VICHADA,99773,CUMARIBO,"7,943.17","4,846.00","3,758.00","4,629.00","7,599.00","5,470.00","7,109.00","3,128.00","3,093.00","2,705.00","2,234.00","1,234.00",710.00,507.00,683.14,699.19,652.72,549.97,245.30,120.98,310.83,282.7
99,VICHADA,99524,LA PRIMAVERA,122.70,63.00,60.00,63.00,227.00,53.00,108.00,46.00,35.00,38.00,30.00,8.00,3.00,4.00,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
99,VICHADA,99624,SANTA ROSALÍA,- 0,- 0,- 0,- 0,- 0,- 0,1.00,- 0,12.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
